user_id,date,description,amount,is_subscription,is_price_creep,is_anomaly,true_canonical_merchant,merchant_clean,user_median_amount,user_std_amount,amount_zscore,predicted_anomaly
user_1,2026-02-01,UPI/NETFLIX.COM/UPIIntent/HDFC/789681768120/,425.68,1,0,0,,UPI/NETFLIX.COM/UPIIntent/HDFC,596.35,3297.1454733995306,-0.051762957193402286,0
user_1,2026-02-01,UPI/HOTSTAR SUB/UPIIntent/SBI/418753369987/,1158.51,1,1,0,,UPI/HOTSTAR SUB/UPIIntent/SBI,596.35,3297.1454733995306,0.1704989981592724,0
user_1,2026-02-01,UPI/MUSICSTREAM PLUS/UPIIntent/AXIS/810362119800/,837.06,1,1,0,,UPI/MUSICSTREAM PLUS/UPIIntent/AXIS,596.35,3297.1454733995306,0.0730055746529786,0
user_1,2026-02-01,UPI/NEWSDIGITAL SUB/UPIIntent/SBI/820817390979/,599.2,1,1,0,,UPI/NEWSDIGITAL SUB/UPIIntent/SBI,596.35,3297.1454733995306,0.0008643840628182908,0
user_1,2026-02-02,UPI/SPOTIFY INDIA/UPIIntent/ICICI/223934398971/,57.43,1,0,0,,UPI/SPOTIFY INDIA/UPIIntent/ICICI,596.35,3297.1454733995306,-0.1634504768891332,0
user_1,2026-02-02,UPI/AMAZON PRIME/UPIIntent/AXIS/108702394947/,126.85,1,0,0,,UPI/AMAZON PRIME/UPIIntent/AXIS,596.35,3297.1454733995306,-0.1423959008748015,0
user_1,2026-02-02,UPI/GYMFIT CLUB/UPIIntent/HDFC/671260526527/,45.72,1,1,0,,UPI/GYMFIT CLUB/UPIIntent/HDFC,596.35,3297.1454733995306,-0.16700203386302864,0
user_1,2026-02-02,UPI/CLOUDSTORAGE PRO/UPIIntent/ICICI/362414499790/,1198.58,1,1,0,,UPI/CLOUDSTORAGE PRO/UPIIntent/ICICI,596.35,3297.1454733995306,0.18265193478984385,0
user_1,2026-02-03,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND/597158029258/,465.44,1,0,0,,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,596.35,3297.1454733995306,-0.03970404128545318,0
user_1,2026-02-03,UPI/Blinkit/blinkit.payu@h/UPIIntent/HDFC/633827745531/,1131.81,0,0,0,Blinkit,UPI/Blinkit/blinkit.payu@h/UPIIntent/HDFC,596.35,3297.1454733995306,0.16240108430760639,0
user_1,2026-02-03,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC/671507794733/,1070.61,0,0,0,Blinkit,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC,596.35,3297.1454733995306,0.1438395739060348,0
user_1,2026-02-06,UPI/Zomato Order/UPIIntent/ICICI/237353682104/,251.79,0,0,0,Zomato,UPI/Zomato Order/UPIIntent/ICICI,596.35,3297.1454733995306,-0.10450251673146244,0
user_1,2026-02-06,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI/294956860706/,622.35,0,0,0,IshanSharma,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI,596.35,3297.1454733995306,0.007885608994131712,0
user_1,2026-02-07,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS/767875601281/,637.92,0,0,0,BottleLab,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS,596.35,3297.1454733995306,0.012607875611002106,0
user_1,2026-02-08,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL/826634711649/,211.16,0,0,0,Thesmartq1,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL,596.35,3297.1454733995306,-0.11682529724806133,0
user_1,2026-02-09,UPI/SWIGGY BANGALORE/UPIIntent/HDFC/501859632628/,963.92,0,0,0,Swiggy,UPI/SWIGGY BANGALORE/UPIIntent/HDFC,596.35,3297.1454733995306,0.11148128069126896,0
user_1,2026-02-15,UPI/Kamod Kumar/UPI/INDIAN/739192226634/,800.94,0,0,0,KamodKumar,UPI/Kamod Kumar/UPI/INDIAN,596.35,3297.1454733995306,0.06205064400420797,0
user_1,2026-02-16,UPI/ZOMATO LTD/UPIIntent/ICICI/941471922836/,700.11,0,0,0,Zomato,UPI/ZOMATO LTD/UPIIntent/ICICI,596.35,3297.1454733995306,0.03146964573965794,0
user_1,2026-02-18,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC/431797976208/,692.69,0,0,0,Blinkit,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC,596.35,3297.1454733995306,0.029219214249794206,0
user_1,2026-02-18,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS/662022111565/,1199.34,0,0,0,BottleLab,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS,596.35,3297.1454733995306,0.1828824372065954,0
user_1,2026-02-18,UPI/Kamod Kumar/UPI/INDIAN/909288570492/,144.93,0,0,0,KamodKumar,UPI/Kamod Kumar/UPI/INDIAN,596.35,3297.1454733995306,-0.13691236969734374,0
user_1,2026-02-19,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL/844765186288/,1010.31,0,0,0,TheFrothHouse,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL,596.35,3297.1454733995306,0.12555102689272166,0
user_1,2026-02-20,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL/677996131444/,1068.5,0,0,0,Thesmartq1,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL,596.35,3297.1454733995306,0.14319962640689568,0
user_1,2026-02-22,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI/814132997178/,780.72,0,0,0,IshanSharma,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI,596.35,3297.1454733995306,0.05591806654800245,0
user_1,2026-02-22,UPI/Kamod Kumar/UPI/INDIAN/381118596268/,896.76,0,0,0,KamodKumar,UPI/Kamod Kumar/UPI/INDIAN,596.35,3297.1454733995306,0.09111214607411951,0
user_1,2026-02-23,UPI/ZOMATO LTD/UPIIntent/ICICI/327564214107/,959.54,0,0,0,Zomato,UPI/ZOMATO LTD/UPIIntent/ICICI,596.35,3297.1454733995306,0.11015285886841139,0
user_1,2026-02-23,UPI/CATERING CARE FSS/cateringcare1/HDFC/710449815787/,776.69,0,0,0,CateringCare,UPI/CATERING CARE FSS/cateringcare1/HDFC,596.35,3297.1454733995306,0.05469579715391205,0
user_1,2026-02-24,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL/502132236456/,775.21,0,0,0,TheFrothHouse,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL,596.35,3297.1454733995306,0.054246924026553775,0
user_1,2026-02-24,UPI/CATERING CARE FSS/cateringcare1/HDFC/983617928907/,1194.84,0,0,0,CateringCare,UPI/CATERING CARE FSS/cateringcare1/HDFC,596.35,3297.1454733995306,0.18151762026530335,0
user_1,2026-02-24,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC/805500774922/,962.45,0,0,0,Blinkit,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC,596.35,3297.1454733995306,0.11103544049044692,0
user_1,2026-02-28,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC/619222027536/,263.62,0,0,0,Blinkit,UPI/BLINK COMMERCE PVT LTD/UPIIntent/HDFC,596.35,3297.1454733995306,-0.10091456463913248,0
user_1,2026-02-28,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS/469665921234/,758.32,0,0,0,BottleLab,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS,596.35,3297.1454733995306,0.04912431110690437,0
user_1,2026-03-01,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL/237035680481/,671.95,0,0,0,TheFrothHouse,UPI/THE FROTH HOUSE/cf.thefrothhou/NSDL,596.35,3297.1454733995306,0.02292892461370606,0
user_1,2026-03-03,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND/567608558257/,465.44,1,0,0,,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,596.35,3297.1454733995306,-0.03970404128545318,0
user_1,2026-03-03,UPI/MUSICSTREAM PLUS/UPIIntent/AXIS/885135917011/,862.17,1,1,0,,UPI/MUSICSTREAM PLUS/UPIIntent/AXIS,596.35,3297.1454733995306,0.08062125318538813,0
user_1,2026-03-04,UPI/NETFLIX.COM/UPIIntent/HDFC/962551630876/,425.68,1,0,0,,UPI/NETFLIX.COM/UPIIntent/HDFC,596.35,3297.1454733995306,-0.051762957193402286,0
user_1,2026-03-04,UPI/SPOTIFY INDIA/UPIIntent/ICICI/337278285287/,57.43,1,0,0,,UPI/SPOTIFY INDIA/UPIIntent/ICICI,596.35,3297.1454733995306,-0.1634504768891332,0
user_1,2026-03-04,UPI/HOTSTAR SUB/UPIIntent/SBI/118930101817/,1158.51,1,1,0,,UPI/HOTSTAR SUB/UPIIntent/SBI,596.35,3297.1454733995306,0.1704989981592724,0
user_1,2026-03-04,UPI/GYMFIT CLUB/UPIIntent/HDFC/709023142153/,45.72,1,1,0,,UPI/GYMFIT CLUB/UPIIntent/HDFC,596.35,3297.1454733995306,-0.16700203386302864,0
user_1,2026-03-04,UPI/CLOUDSTORAGE PRO/UPIIntent/ICICI/580470977829/,1198.58,1,1,0,,UPI/CLOUDSTORAGE PRO/UPIIntent/ICICI,596.35,3297.1454733995306,0.18265193478984385,0
user_1,2026-03-05,UPI/AMAZON PRIME/UPIIntent/AXIS/489060945655/,126.85,1,0,0,,UPI/AMAZON PRIME/UPIIntent/AXIS,596.35,3297.1454733995306,-0.1423959008748015,0
user_1,2026-03-05,UPI/NEWSDIGITAL SUB/UPIIntent/SBI/141719632068/,599.2,1,1,0,,UPI/NEWSDIGITAL SUB/UPIIntent/SBI,596.35,3297.1454733995306,0.0008643840628182908,0
user_1,2026-03-05,UPI/SWIGGY BANGALORE/UPIIntent/HDFC/389716292505/,696.41,0,0,0,Swiggy,UPI/SWIGGY BANGALORE/UPIIntent/HDFC,596.35,3297.1454733995306,0.030347462921262256,0
user_1,2026-03-05,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL/536170714044/,1098.5,0,0,0,Thesmartq1,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL,596.35,3297.1454733995306,0.1522984060155092,0
user_1,2026-03-07,UPI/ZOMATO LTD/UPIIntent/ICICI/419222522880/,373.32,0,0,0,Zomato,UPI/ZOMATO LTD/UPIIntent/ICICI,596.35,3297.1454733995306,-0.06764336053696908,0
user_1,2026-03-09,UPI/ZOMATO LTD/UPIIntent/ICICI/235203483885/,332.62,0,0,0,Zomato,UPI/ZOMATO LTD/UPIIntent/ICICI,596.35,3297.1454733995306,-0.07998737153932141,0
user_1,2026-03-10,UPI/ZOMATO LTD/UPIIntent/ICICI/672616761081/,1184.89,0,0,0,Zomato,UPI/ZOMATO LTD/UPIIntent/ICICI,596.35,3297.1454733995306,0.17849985836177995,0
user_1,2026-03-13,UPI/SWIGGY*BLR123/UPIIntent/HDFC/184977032306/,663.81,0,0,0,Swiggy,UPI/SWIGGY*BLR123/UPIIntent/HDFC,596.35,3297.1454733995306,0.020460122413235565,0
user_1,2026-03-14,UPI/Zomato Order/UPIIntent/ICICI/110235079137/,320.92,0,0,0,Zomato,UPI/Zomato Order/UPIIntent/ICICI,596.35,3297.1454733995306,-0.08353589558668068,0
user_1,2026-03-15,UPI/SWIGGY BANGALORE/UPIIntent/HDFC/294185745415/,736.39,0,0,0,Swiggy,UPI/SWIGGY BANGALORE/UPIIntent/HDFC,596.35,3297.1454733995306,0.04247310321300787,0
user_1,2026-03-16,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI/335652093497/,914.35,0,0,0,IshanSharma,UPI/M S ISHAN SHARMA/eazypay.8kvdv4/ICICI,596.35,3297.1454733995306,0.09644706385130325,0
user_1,2026-03-19,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL/269969373081/,933.55,0,0,0,Thesmartq1,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL,596.35,3297.1454733995306,0.10227028280081588,0
user_1,2026-03-22,UPI/Blinkit/blinkit.payu@h/UPIIntent/HDFC/145880893273/,236.17,0,0,0,Blinkit,UPI/Blinkit/blinkit.payu@h/UPIIntent/HDFC,596.35,3297.1454733995306,-0.10923994798101387,0
user_1,2026-03-25,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS/855748695859/,824.52,0,0,0,BottleLab,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS,596.35,3297.1454733995306,0.06920228477657817,0
user_1,2026-03-27,UPI/SWIGGY BANGALORE/UPIIntent/HDFC/929624164938/,1135.34,0,0,0,Swiggy,UPI/SWIGGY BANGALORE/UPIIntent/HDFC,596.35,3297.1454733995306,0.16347170737488656,0
user_1,2026-03-29,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS/197851311468/,415.45,0,0,0,BottleLab,UPI/BOTTLE LAB TECHNOLOGIES/pinelabs.11443/UPI/AXIS,596.35,3297.1454733995306,-0.054865641039939496,0
user_1,2026-03-29,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL/116362199717/,497.62,0,0,0,Thesmartq1,UPI/Thesmartq1/thesmartq1.pay/UPIIntent/AIRTEL,596.35,3297.1454733995306,-0.02994408369194708,0
user_1,2026-03-29,UPI/Kamod Kumar/UPI/INDIAN/956257440503/,909.56,0,0,0,KamodKumar,UPI/Kamod Kumar/UPI/INDIAN,596.35,3297.1454733995306,0.09499429204046127,0
