user_id,merchant_clean,first_amount,last_amount,total_change_pct,slope_pct_per_period,predicted_price_creep
user_1,UPI/AMAZON PRIME/UPIIntent/AXIS,370.11,370.11,0.0,-0.0,0
user_1,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,883.46,883.46,0.0,-0.0,0
user_1,UPI/HOTSTAR SUB/UPIIntent/SBI,376.03,436.19,16.0,3.66,1
user_1,UPI/NETFLIX.COM/UPIIntent/HDFC,117.87,117.87,0.0,0.0,0
user_1,UPI/SPOTIFY INDIA/UPIIntent/ICICI,481.58,481.58,0.0,-0.0,0
user_2,UPI/AMAZON PRIME/UPIIntent/AXIS,947.18,947.18,0.0,0.0,0
user_2,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,22.66,22.66,0.0,-0.0,0
user_2,UPI/HOTSTAR SUB/UPIIntent/SBI,887.2,1029.15,16.0,3.66,1
user_2,UPI/NETFLIX.COM/UPIIntent/HDFC,1100.62,1100.62,0.0,0.0,0
user_2,UPI/SPOTIFY INDIA/UPIIntent/ICICI,612.97,612.97,0.0,-0.0,0
user_3,UPI/AMAZON PRIME/UPIIntent/AXIS,1051.41,1051.41,0.0,-0.0,0
user_3,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,1047.09,1047.09,0.0,-0.0,0
user_3,UPI/HOTSTAR SUB/UPIIntent/SBI,912.43,1058.42,16.0,3.66,1
user_3,UPI/NETFLIX.COM/UPIIntent/HDFC,745.63,745.63,0.0,-0.0,0
user_3,UPI/SPOTIFY INDIA/UPIIntent/ICICI,594.58,594.58,0.0,0.0,0
user_4,UPI/AMAZON PRIME/UPIIntent/AXIS,549.99,549.99,0.0,0.0,0
user_4,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,1078.9,1078.9,0.0,0.0,0
user_4,UPI/HOTSTAR SUB/UPIIntent/SBI,215.26,249.7,16.0,3.66,1
user_4,UPI/NETFLIX.COM/UPIIntent/HDFC,1032.25,1032.25,0.0,0.0,0
user_4,UPI/SPOTIFY INDIA/UPIIntent/ICICI,531.79,531.79,0.0,0.0,0
user_5,UPI/AMAZON PRIME/UPIIntent/AXIS,230.54,230.54,0.0,-0.0,0
user_5,UPI/ANGEL ONE/angelmfcpupa@i/Subscripti/INDUSIND,208.56,208.56,0.0,-0.0,0
user_5,UPI/HOTSTAR SUB/UPIIntent/SBI,527.74,612.18,16.0,3.66,1
user_5,UPI/NETFLIX.COM/UPIIntent/HDFC,522.88,522.88,0.0,-0.0,0
user_5,UPI/SPOTIFY INDIA/UPIIntent/ICICI,778.4,778.4,0.0,0.0,0
